MsgID.LOCAL_POSITION,3079.1840000,-0.0281988,0.3856128,-0.1578510
MsgID.LOCAL_VELOCITY,3079.1840000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3956795,37.7932704,0.1450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3079.4340000,0.0624757,0.3439103,-0.1327386
MsgID.LOCAL_VELOCITY,3079.4340000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3956789,37.7932708,0.1220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_HOME,0.0000000,-122.3956832,37.7932701,0.0000000
MsgID.LOCAL_POSITION,3079.6850000,0.0772993,0.3930116,-0.1157053
MsgID.LOCAL_VELOCITY,3079.6850000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3956790,37.7932700,0.1040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3079.9350000,-0.0902933,0.4074782,-0.0995768
MsgID.LOCAL_VELOCITY,3079.9350000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3956768,37.7932684,0.0910000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3080.1850000,-0.1883473,0.6496425,-0.0881074
MsgID.LOCAL_VELOCITY,3080.1850000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3956760,37.7932684,0.0850000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3080.4350000,-0.1605499,0.5840774,-0.0838130
MsgID.LOCAL_VELOCITY,3080.4350000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3956776,37.7932693,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_HOME,0.0000000,-122.3956832,37.7932701,0.0000000
MsgID.LOCAL_POSITION,3080.6850000,0.0441080,0.4052533,-0.0825936
MsgID.LOCAL_VELOCITY,3080.6850000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3956794,37.7932710,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3080.9350000,0.0981182,0.3414992,-0.0825000
